,name,salary,area_name,published_at
73,Руководитель проектов,36334.92,Санкт-Петербург,2003-08-27 00:00:00.040000
74,Менеджер проекта по внедрению ERP системы /финансово бухгалтерский блок/,101668.4988,Москва,2003-09-03 00:00:00.040000
75,Руководитель проекта внедрения (Oracle EBS),76535.5,Москва,2003-10-27 00:00:00.030000
76,Менеджер по продажам IT проектов,151395.5,Москва,2003-08-29 00:00:00.040000
77,Менеджер по работе с клиентами,151395.5,Москва,2003-08-29 00:00:00.040000
78,Инженер группы внедрения программных продуктов,22304.025,Санкт-Петербург,2003-12-01 00:00:00.030000
79,Service Project Manager,52044.14,Москва,2003-10-07 00:00:00.040000
80,Специалист по SAP R/3,60558.2,Москва,2003-08-14 17:40:03.040000
81,Специалист по поддержке банковских приложений,75697.75,Москва,2003-08-15 11:37:41.040000
82,IT - директор (CIO),106762.59999999999,Москва,2003-09-10 00:00:00.040000
83,Руководитель отдела маркетинга,75697.75,Москва,2003-08-15 13:05:04.040000
84,Sales Director,151395.5,Москва,2003-08-15 15:01:10.040000
85,Системный аналитик,45418.65,Москва,2003-08-15 18:20:06.040000
86,Менеджер по IT и системному интегрированию,91510.8,Москва,2003-09-05 00:00:00.040000
87,Business Application Specialist,43904.695,Москва,2003-08-18 10:15:10.040000
88,Database Developer/Business analyst,48446.56,Москва,2003-08-18 10:39:13.040000
89,Developer and Analyst,30279.1,Москва,2003-08-18 10:53:37.040000
90,Sales Manager,90837.3,Москва,2003-08-18 11:47:53.040000
91,Системный администратор,12111.64,Москва,2003-08-18 13:30:28.040000
92,Rational Product Technical Sales,90837.3,Москва,2003-08-18 15:15:55.040000
93,Product Manager,60558.2,Москва,2003-08-18 15:48:40.040000
94,ERP - consultant,54502.38,Москва,2003-08-18 17:35:51.040000
95,Программист,24223.28,Москва,2003-08-18 18:40:13.040000
96,SNA / IT - manager,39362.83,Москва,2003-08-18 18:44:42.040000
97,Разработчик биллинговой системы (С++/Oracle),41634.18,Москва,2003-12-02 00:00:00.030000
98,Telecom Engineer,45418.65,Москва,2003-08-19 11:17:22.040000
99,Sales Engineer,60558.2,Москва,2003-08-19 13:40:44.040000
